,n_1,n_2,n_3,d_1,d_2,d_3,gamma_1,gamma_2,gamma_3,factor_loading_1,factor_loading_2,factor_loading_3
0,240000.0,240000.0,240000.0,482.0,2916.0,14294.0,-2.8435748284701106,-2.30875931474643,-1.6851360083147795,0.453422384060298,0.4513223985723498,0.44955707040389126
1,240000.0,240000.0,240000.0,295.0,1849.0,10183.0,-2.8293603400611307,-2.263190629545596,-1.6340979052633267,0.44503169910347373,0.4624960978317697,0.4625051579547157
2,240000.0,240000.0,240000.0,382.0,2540.0,13180.0,-2.8206152113688496,-2.264691551594137,-1.6433618830710812,0.4683908687360189,0.45180445685953735,0.4458612913775407
3,240000.0,240000.0,240000.0,488.0,2785.0,13530.0,-2.787320910277712,-2.2330140320998675,-1.6315251396590167,0.45141393561037013,0.4644821639087222,0.4613529107630744
4,240000.0,240000.0,240000.0,453.0,2496.0,12572.0,-2.827212584623524,-2.2841065184397307,-1.663897562582433,0.44618363256352206,0.4655611789675379,0.44046602278285224
5,240000.0,240000.0,240000.0,631.0,3243.0,14862.0,-2.803391902524226,-2.2674187966663695,-1.672301328197902,0.44415721103658323,0.4596918432532089,0.453585332958343
6,240000.0,240000.0,240000.0,340.0,2119.0,11844.0,-2.840730031572752,-2.2708407538655644,-1.6225518223677613,0.44331481194637745,0.46099271193522945,0.46512008469959554
7,240000.0,240000.0,240000.0,420.0,2535.0,13055.0,-2.8272141271253,-2.271576591065859,-1.6474481545546258,0.4628632418360703,0.4561846510505738,0.44449020480220724
8,240000.0,240000.0,240000.0,306.0,1983.0,11370.0,-2.8358193997654695,-2.268439442275901,-1.6357389567584848,0.46530744587452033,0.4507360019551766,0.44789477290330737
9,240000.0,240000.0,240000.0,495.0,2734.0,14019.0,-2.766355410974208,-2.2548826895697305,-1.6169158442464482,0.4562313117040477,0.4639063103111426,0.46449152235296154
10,240000.0,240000.0,240000.0,344.0,2190.0,11815.0,-2.8187803197825367,-2.2613159916417604,-1.6324995468236378,0.4429591246192418,0.4640690348428271,0.4629396362337196
11,240000.0,240000.0,240000.0,340.0,2165.0,12410.0,-2.8998349456934216,-2.318048428905315,-1.66959502672231,0.4556260130044859,0.46049363591926373,0.45186451643188397
12,240000.0,240000.0,240000.0,457.0,2722.0,13734.0,-2.7908552747315607,-2.252992800806699,-1.6318416311176196,0.44662234871363937,0.46051971003116854,0.46979786741883633
13,240000.0,240000.0,240000.0,460.0,2745.0,14605.0,-2.90013068322814,-2.3249563804691182,-1.677913440264398,0.4455458916763938,0.456854540714299,0.44166299154017297
14,240000.0,240000.0,240000.0,392.0,2537.0,13493.0,-2.818403537954077,-2.274670126790334,-1.6335777528058277,0.45143787197265467,0.46185037617304164,0.4558037067454172
15,240000.0,240000.0,240000.0,415.0,2468.0,13409.0,-2.8116082804641955,-2.2779673353313905,-1.6352638219712121,0.44913818479071393,0.4643665934606469,0.4574990649151085
16,240000.0,240000.0,240000.0,359.0,2333.0,12775.0,-2.842845674641496,-2.305949131891535,-1.6546061173182436,0.4532612344989133,0.45715048012389814,0.4440650435919299
17,240000.0,240000.0,240000.0,525.0,2937.0,15016.0,-2.84738173862367,-2.301105627289872,-1.6692847786882092,0.4404466686031151,0.4595974280718473,0.4458382921901067
18,240000.0,240000.0,240000.0,318.0,2082.0,11568.0,-2.8264567316695306,-2.272136152555807,-1.635565008215217,0.4424410935124721,0.46654953908939256,0.4537661148233251
19,240000.0,240000.0,240000.0,316.0,2071.0,11868.0,-2.8315574915174406,-2.2810510979736582,-1.6268945210281085,0.4486848842774288,0.4583030343711131,0.45646970544572535
20,240000.0,240000.0,240000.0,428.0,2656.0,13692.0,-2.812173133420858,-2.2667944701364533,-1.634580509560826,0.4403650463984812,0.4659626338493744,0.46148677874502536
21,240000.0,240000.0,240000.0,609.0,3159.0,15030.0,-2.7852781248319065,-2.273675812904658,-1.6668538084733497,0.4511864825504336,0.4741338171577728,0.4433521650339163
22,240000.0,240000.0,240000.0,336.0,2197.0,12384.0,-2.900160912225992,-2.3124150162978605,-1.6723388176074092,0.4515029153728467,0.4518876943733383,0.44483558439242155
23,240000.0,240000.0,240000.0,394.0,2566.0,13475.0,-2.8208599773757923,-2.2690095568031676,-1.6347603049457802,0.4486537719333209,0.4628380701344391,0.4575767468467684
24,240000.0,240000.0,240000.0,540.0,3037.0,14671.0,-2.8435249862051357,-2.2977344089210363,-1.6716858845936131,0.44891343085754865,0.4602332414550431,0.44684913479616567
25,240000.0,240000.0,240000.0,497.0,2829.0,14581.0,-2.8434407516455726,-2.305999002863331,-1.670938786043685,0.4637299707517066,0.44911948762563436,0.4421063839624629
26,240000.0,240000.0,240000.0,500.0,2819.0,13692.0,-2.766564528256585,-2.247344650671323,-1.6253986613966376,0.4520497164564793,0.46528711891426144,0.4642459576974873
27,240000.0,240000.0,240000.0,485.0,2773.0,13773.0,-2.77049445513327,-2.246429934202288,-1.6181680770362266,0.45729817512461424,0.46327104555502624,0.46436284063897804
28,240000.0,240000.0,240000.0,570.0,3111.0,14948.0,-2.8091315988294117,-2.293436515178311,-1.6684568068393473,0.4447669551607765,0.45597381539586856,0.45324730376165967
29,240000.0,240000.0,240000.0,477.0,2583.0,14043.0,-2.7890550776266956,-2.273816902299031,-1.6155110331327895,0.4570580732238268,0.4614843921868579,0.46177757358686444
30,240000.0,240000.0,240000.0,316.0,2060.0,10653.0,-2.8399664206570856,-2.2827582398180146,-1.6692086544683784,0.44485834235071187,0.46271063933117196,0.44994653161766807
31,240000.0,240000.0,240000.0,630.0,3369.0,15152.0,-2.791314566365249,-2.2604791932801467,-1.6644308389336469,0.45143969235142756,0.45653141987379897,0.452512136653775
32,240000.0,240000.0,240000.0,406.0,2343.0,12070.0,-2.821636187181628,-2.303383094940077,-1.688959038102107,0.4476813539148009,0.44897610818919076,0.4527985657986663
33,240000.0,240000.0,240000.0,594.0,3360.0,15430.0,-2.7992151434998584,-2.2527729935526537,-1.648117173874049,0.4504537363371431,0.46277556323490954,0.4501859709171735
34,240000.0,240000.0,240000.0,556.0,3296.0,15831.0,-2.8072607367933258,-2.2638845724591774,-1.639191911975332,0.4494412223526513,0.4579534301252447,0.4603548305064739
35,240000.0,240000.0,240000.0,438.0,2473.0,13510.0,-2.8183526685296414,-2.2983231397932617,-1.6325250123053414,0.44331886712570745,0.4614000430787432,0.46092085723141785
36,240000.0,240000.0,240000.0,454.0,2656.0,13828.0,-2.8003877931865215,-2.2640578026358313,-1.6208735887568562,0.45840678177523697,0.45976818937707087,0.4617598559093738
37,240000.0,240000.0,240000.0,456.0,2720.0,13371.0,-2.7823409054824424,-2.2537888964348176,-1.6399374956533292,0.4481480748019521,0.4607502966038438,0.4618237284225518
38,240000.0,240000.0,240000.0,360.0,2302.0,12570.0,-2.884748163551957,-2.3138544466584827,-1.6624968893777097,0.43819014659024497,0.4518847053785868,0.448919842062657
39,240000.0,240000.0,240000.0,408.0,2390.0,12782.0,-2.8245820340268084,-2.3052483885497703,-1.6622508227414803,0.447605032023494,0.4601844863609247,0.456566550688787
40,240000.0,240000.0,240000.0,468.0,2860.0,14435.0,-2.8824754526891243,-2.3052584095188884,-1.682815401887167,0.446807286056337,0.45045202778869825,0.44971608287436265
41,240000.0,240000.0,240000.0,503.0,2651.0,12392.0,-2.7769602668291222,-2.254175002193225,-1.6639227700212844,0.4558468809925083,0.45783099350537115,0.44901905721292934
42,240000.0,240000.0,240000.0,361.0,2173.0,11432.0,-2.787990996229452,-2.2599536607098742,-1.6373697183044995,0.44814212931190367,0.4582659480718828,0.4623290022040095
43,240000.0,240000.0,240000.0,414.0,2427.0,12649.0,-2.8296350766400815,-2.3023865811150683,-1.6599899854985938,0.44220790978941216,0.4584773154286917,0.4566047186756522
44,240000.0,240000.0,240000.0,501.0,2807.0,13952.0,-2.8392878008653613,-2.311698124743607,-1.701554667420337,0.45915244018932155,0.4456167020557733,0.4495062170607673
45,240000.0,240000.0,240000.0,624.0,3307.0,15658.0,-2.78224108773409,-2.269572249467526,-1.6443317757089235,0.45236635932547165,0.4557710512702115,0.461485874434059
46,240000.0,240000.0,240000.0,319.0,2136.0,11756.0,-2.8489929031542647,-2.2701141981500736,-1.6350135466988647,0.44170634849029355,0.46218097313841977,0.46017934417446
47,240000.0,240000.0,240000.0,621.0,3221.0,14552.0,-2.781880957979216,-2.26616750435403,-1.6742161138211817,0.4540427047077208,0.4530102884835081,0.44962801058842816
48,240000.0,240000.0,240000.0,389.0,2271.0,11992.0,-2.8686180672342063,-2.3122121277489347,-1.6895095465646577,0.44826811377020587,0.44975291567098674,0.44950208635411215
49,240000.0,240000.0,240000.0,394.0,2242.0,12983.0,-2.838834139464284,-2.321175530029489,-1.646230572272597,0.44545929794363603,0.4589760746664503,0.4483791733475825
50,240000.0,240000.0,240000.0,609.0,3170.0,15141.0,-2.7933407138152164,-2.276585627891971,-1.6653620088834074,0.4555761020322288,0.45397142827285886,0.44903286084489247
51,240000.0,240000.0,240000.0,354.0,2279.0,12577.0,-2.8946939607262876,-2.308211008802055,-1.662405131223006,0.4488552498608899,0.45550840562278233,0.4472087158069777
52,240000.0,240000.0,240000.0,436.0,2588.0,12934.0,-2.8134562394005833,-2.267314794981594,-1.659806991720934,0.44464154501582703,0.4593270407249219,0.4549014532120215
53,240000.0,240000.0,240000.0,407.0,2412.0,12766.0,-2.8278803529509293,-2.2979880750626975,-1.6529718185143292,0.44955151618015277,0.4589259853059514,0.45514421006487293
54,240000.0,240000.0,240000.0,477.0,2537.0,13433.0,-2.7778622062832214,-2.2840238762100973,-1.6396185014677798,0.4469629636274287,0.46732447211225836,0.44447405272098506
55,240000.0,240000.0,240000.0,543.0,3060.0,14791.0,-2.8259793807955367,-2.286953052161722,-1.666754555142497,0.4491732635341298,0.45295849995358806,0.45497112646559523
56,240000.0,240000.0,240000.0,438.0,2405.0,12645.0,-2.8123342563156517,-2.293825786766365,-1.6663392856477461,0.455484853648211,0.4584050311259328,0.44381995710609184
57,240000.0,240000.0,240000.0,302.0,1844.0,10531.0,-2.8502134522385045,-2.3085606700953987,-1.6726529424222083,0.45036089821362724,0.4513227445443826,0.45233186787608304
58,240000.0,240000.0,240000.0,393.0,2606.0,13548.0,-2.8618943401836168,-2.2828721278206867,-1.6345816019050905,0.44009658575723387,0.4663936523303387,0.45669966591049327
59,240000.0,240000.0,240000.0,502.0,2811.0,14389.0,-2.8395506325469464,-2.3224479159951006,-1.6877481020728102,0.45054408477063357,0.4473767587791856,0.45213184211036583
60,240000.0,240000.0,240000.0,261.0,1929.0,10740.0,-2.8898835520004487,-2.287161716678339,-1.6625603842480494,0.45218893756531103,0.4607041375183606,0.43811973162016543
61,240000.0,240000.0,240000.0,439.0,2676.0,13468.0,-2.796840265823444,-2.2610731464287435,-1.6331040526732545,0.44583077312307245,0.4571930584552236,0.46303619649861005
62,240000.0,240000.0,240000.0,330.0,2262.0,12291.0,-2.8764907570218026,-2.309141756010711,-1.6801479162489135,0.4486743470191331,0.44942469888291936,0.4528436978613749
63,240000.0,240000.0,240000.0,563.0,2833.0,13761.0,-2.7586694646667853,-2.2385893503154106,-1.6259903203224577,0.45092438574790267,0.4704515197965691,0.4654371735965708
64,240000.0,240000.0,240000.0,267.0,1999.0,11343.0,-2.841149218095797,-2.2739290168047015,-1.634156290388857,0.4602790313484803,0.45528001975907095,0.4493281884301348
65,240000.0,240000.0,240000.0,576.0,2829.0,14011.0,-2.8104441464283036,-2.3160827873000684,-1.6995605724898235,0.459295257011338,0.44924538352093685,0.4461614563866019
66,240000.0,240000.0,240000.0,568.0,2965.0,14566.0,-2.8048023519700553,-2.296384601788824,-1.6768041525955857,0.44846711422236996,0.45232306677186584,0.4468847119103065
67,240000.0,240000.0,240000.0,378.0,2382.0,12635.0,-2.852082000326023,-2.299570833008901,-1.6680228733719735,0.45247318649481605,0.45377696002534496,0.448588770494341
68,240000.0,240000.0,240000.0,340.0,2146.0,12210.0,-2.908202750142733,-2.3273364371385075,-1.6778942014754628,0.45001293893390165,0.4447285631915206,0.4434437933187275
69,240000.0,240000.0,240000.0,388.0,2526.0,13279.0,-2.8119477861243736,-2.2720235690964925,-1.6381758431419846,0.46244620248936136,0.4561175524625632,0.4496649989934804
70,240000.0,240000.0,240000.0,446.0,2454.0,12861.0,-2.8108163030723454,-2.2765631390130086,-1.656029021307311,0.46077818603044474,0.4538540966259732,0.4492037737393004
71,240000.0,240000.0,240000.0,455.0,2803.0,14421.0,-2.90305660602058,-2.3199067220635214,-1.6851670617827694,0.44666980227931397,0.44751932333832234,0.4486138207583294
72,240000.0,240000.0,240000.0,504.0,2490.0,12909.0,-2.764242635513936,-2.269504654652165,-1.6524944993015682,0.4523737489116816,0.45622164257508635,0.459777646399224
73,240000.0,240000.0,240000.0,410.0,2386.0,12455.0,-2.840548320640166,-2.294193129017917,-1.6651848220809518,0.44466254409025663,0.4605030438408132,0.4456351958406721
74,240000.0,240000.0,240000.0,372.0,2280.0,12263.0,-2.873351998998108,-2.3256821031286155,-1.6890147137244502,0.43001765649740104,0.4516602268710066,0.4611910713621139
75,240000.0,240000.0,240000.0,344.0,2273.0,11862.0,-2.872362821255891,-2.3049736487689527,-1.6821383895801172,0.45451535653811515,0.4489309378342164,0.45087005786242496
76,240000.0,240000.0,240000.0,470.0,2732.0,13807.0,-2.7729595061915466,-2.2486659696789233,-1.6168867485286782,0.4577808268844283,0.4640266732104299,0.4617443570169594
77,240000.0,240000.0,240000.0,194.0,1531.0,9401.0,-2.873762572670678,-2.278009056726262,-1.625024107751917,0.4463046499396306,0.45990806347609703,0.45630175022616926
78,240000.0,240000.0,240000.0,475.0,2846.0,14036.0,-2.8642030927800244,-2.3070125634480725,-1.690175063891833,0.4529664502267706,0.44911287793052856,0.44904582339763105
79,240000.0,240000.0,240000.0,513.0,2987.0,15014.0,-2.8613429889535427,-2.2951856092212033,-1.6636857596774262,0.43848271296080665,0.45772008168246975,0.45480783612583814
80,240000.0,240000.0,240000.0,374.0,2191.0,11924.0,-2.8170332363152224,-2.300878407113293,-1.6768583708436275,0.4715358037200019,0.4461700441458393,0.44915489686150395
81,240000.0,240000.0,240000.0,519.0,2820.0,13640.0,-2.7729679930015525,-2.2448594386233465,-1.6273840344843622,0.45361331120040815,0.4642041206921579,0.4635190139005183
82,240000.0,240000.0,240000.0,345.0,2292.0,12717.0,-2.862085641678186,-2.317954314555755,-1.6580682183681676,0.4517948265910283,0.4490413484954066,0.4480437031413206
83,240000.0,240000.0,240000.0,434.0,2681.0,13969.0,-2.8105475134054045,-2.2518423405237,-1.6115962611910475,0.4533626796876182,0.4593504822439214,0.46569507192778253
84,240000.0,240000.0,240000.0,248.0,1612.0,9178.0,-2.848777618559499,-2.2849247596156683,-1.6710612199324295,0.44968771695848864,0.45888409378689404,0.44600561676701306
85,240000.0,240000.0,240000.0,463.0,2759.0,14349.0,-2.8730957922678644,-2.320208007228329,-1.6803125091598714,0.45254612060433097,0.4497570733859908,0.4491077808565095
86,240000.0,240000.0,240000.0,384.0,2402.0,12623.0,-2.8463069198672737,-2.2857903629071776,-1.6587672360433605,0.4495261893131165,0.46177967815682186,0.44555571371047614
87,240000.0,240000.0,240000.0,372.0,2286.0,12146.0,-2.872334327013525,-2.3032884278749544,-1.6744608417069256,0.45519274257598674,0.4490091685945565,0.4488825409162721
88,240000.0,240000.0,240000.0,335.0,1888.0,10909.0,-2.8265488420689184,-2.2989438066875203,-1.6511876529227325,0.4505892403692734,0.4598488443183223,0.4472281486299544
89,240000.0,240000.0,240000.0,754.0,3393.0,15524.0,-2.736613443074165,-2.256332671821836,-1.644943620703153,0.44992650352634334,0.46700071364289475,0.45892039763603437
90,240000.0,240000.0,240000.0,409.0,2251.0,11953.0,-2.840482831308977,-2.3060665759366556,-1.6890161672090058,0.44630722970801473,0.44131042123305436,0.4592063539625413
91,240000.0,240000.0,240000.0,358.0,2311.0,12618.0,-2.858967423040978,-2.303911203138143,-1.663986602188451,0.4419456189064108,0.4592375629809099,0.44389425316407943
92,240000.0,240000.0,240000.0,482.0,2643.0,13199.0,-2.7708071655242286,-2.263542791145719,-1.6373018190035884,0.45787481731822355,0.46748806123042014,0.4537795553434135
93,240000.0,240000.0,240000.0,569.0,3031.0,14969.0,-2.818927514741711,-2.297874405391913,-1.6704726037197966,0.4508463509601808,0.4580953224742156,0.45252590029283346
94,240000.0,240000.0,240000.0,377.0,2268.0,12536.0,-2.8618650729308,-2.301182028010736,-1.6669445513183863,0.45022741357437857,0.45242909389965996,0.4460744440036355
95,240000.0,240000.0,240000.0,489.0,2660.0,13211.0,-2.778186071890207,-2.2637806769366584,-1.6507970858651804,0.4430591340189333,0.45892479000840924,0.45824929114072166
96,240000.0,240000.0,240000.0,485.0,2771.0,14233.0,-2.8751107195318344,-2.3163100208537264,-1.6901459599243038,0.4535820899620184,0.4470657030295672,0.44797791997970926
97,240000.0,240000.0,240000.0,499.0,3004.0,15026.0,-2.854882442668157,-2.294498498512075,-1.660717667089533,0.4445311820042822,0.4646496230610325,0.44227772482062067
98,240000.0,240000.0,240000.0,497.0,2652.0,13112.0,-2.773975186998162,-2.2579085303523083,-1.6440240486677817,0.44438505053202026,0.4677230229908923,0.45886711992996987
99,240000.0,240000.0,240000.0,402.0,2404.0,12967.0,-2.841024971966501,-2.279738433126992,-1.6482557748173825,0.45490749617974136,0.460549984950638,0.4428507555688117
